X1,Y1,sigma_xx,sigma_yy,sigma_zz,sigma_xy,,,X,Y,ux,uy,|u|
0.007757318,0.318567455,-44.58449695,-84.63878535,-38.76698469,-0.077782451,,,0,0,0,0,0
0.007757318,0.256443636,-43.42843868,-85.25835085,-38.60603686,-0.077086067,,,0,0.19047619,0,-0.000805984,0.000805984
0.008097551,0.507217838,-47.68580261,-82.67858182,-39.10931533,-0.088250432,,,0,0.095238095,0,-0.000408567,0.000408567
0.008097551,0.44509402,-46.72383513,-83.34334256,-39.02015331,-0.085168365,,,0,0.142857143,0,-0.000608615,0.000608615
0.008351985,0.697106778,-50.35323641,-80.46278151,-39.24480538,-0.104900037,,,0,0.047619048,0,-0.000205735,0.000205735
0.008351985,0.634982959,-49.51947032,-81.22335523,-39.22284767,-0.099710413,,,0,0.19047619,0,-0.000805984,0.000805984
0.008767608,0.887448157,-52.73392296,-77.86091931,-39.17845268,-0.130465573,,,0,4,0,-0.006799191,0.006799191
0.008767608,0.825324338,-51.98147478,-78.75947276,-39.22228426,-0.123257385,,,0,3.80952381,0,-0.006580881,0.006580881
0.008783265,1.015897116,-54.23090619,-75.83133156,-39.01867132,-0.147213541,,,0,3.904761905,0,-0.006675115,0.006675115
0.008783265,1.078020934,-54.93091724,-74.7596773,-38.90717836,-0.155894496,,,0,3.952380952,0,-0.006733374,0.006733374
0.008901484,1.268544988,-56.99350825,-71.06935024,-38.41885755,-0.187416919,,,0,3.857142857,0,-0.006624334,0.006624334
0.008901484,1.20642117,-56.33466804,-72.34236274,-38.60310923,-0.177457787,,,0,0.19047619,0,-0.000805984,0.000805984
0.00894445,2.983577856,-44.5749868,-13.59299956,-17.45039591,-0.287431547,,,0,2.095238095,0,-0.006309598,0.006309598
0.00894445,2.921454038,-47.67436786,-15.64539072,-18.99592757,-0.30319039,,,0,1.904761905,0,-0.006036999,0.006036999
0.008945439,2.793034949,-52.98438008,-20.19540768,-21.95393633,-0.329104622,,,0,2,0,-0.006183286,0.006183286
0.008945439,2.730911131,-55.06057877,-22.5139344,-23.27235395,-0.338216377,,,0,2.047619048,0,-0.006248961,0.006248961
0.008963523,2.602505316,-58.44259572,-27.46716192,-25.77292729,-0.351125154,,,0,1.952380952,0,-0.006112615,0.006112615
0.008963523,2.540381497,-59.68207247,-29.91126117,-26.87800009,-0.353832307,,,0,1.714285714,0,-0.005686496,0.005686496
0.008966377,3.174156065,-32.72095748,-8.079330839,-12.24008649,-0.227976047,,,0,1.523809524,0,-0.005263436,0.005263436
0.008966377,3.112032247,-36.98559814,-9.733764486,-14.01580879,-0.249321039,,,0,1.619047619,0,-0.005483636,0.005483636
0.008992629,2.411973759,-61.53598372,-34.98862256,-28.95738189,-0.354913103,,,0,1.666666667,0,-0.005587286,0.005587286
0.008992629,2.349849941,-62.13179605,-37.43214209,-29.86918144,-0.352245793,,,0,1.571428571,0,-0.00537565,0.00537565
0.008996961,1.459116136,-58.91984495,-66.71604288,-37.69076635,-0.22199786,,,0,1.333333333,0,-0.004774536,0.004774536
0.008996961,1.396992318,-58.30951436,-68.21132146,-37.95625075,-0.211146577,,,0,1.142857143,0,-0.004226952,0.004226952
0.009023705,3.302686554,-22.63781486,-5.148183465,-8.335799497,-0.18148947,,,0,1.238095238,0,-0.004507637,0.004507637
0.009023705,3.364810372,-17.15805368,-3.9818659,-6.341975874,-0.157267137,,,0,1.285714286,0,-0.004642864,0.004642864
0.009024778,2.221431399,-62.84251767,-42.39898334,-31.5724503,-0.34366436,,,0,1.19047619,0,-0.004368964,0.004368964
0.009024778,2.159307581,-62.97015304,-44.74225722,-32.31372308,-0.336982569,,,0,2.666666667,0,-0.006653223,0.006653223
0.009045949,1.649708125,-60.64538046,-61.65482242,-36.69006086,-0.257335849,,,0,2.476190476,0,-0.006613843,0.006613843
0.009045949,1.587584306,-60.11173687,-63.38368197,-37.04862565,-0.246159164,,,0,2.571428571,0,-0.006641989,0.006641989
0.009050923,2.030872706,-62.87124043,-49.42350721,-33.68842429,-0.321220117,,,0,2.619047619,0,-0.006649613,0.006649613
0.009050923,1.968748888,-62.67651107,-51.59664058,-34.28194549,-0.31189902,,,0,2.523809524,0,-0.006630131,0.006630131
0.009061236,1.840296451,-62.03498867,-55.8771736,-35.37364868,-0.291337297,,,0,2.857142857,0,-0.006633046,0.006633046
0.009061236,1.778172632,-61.63045543,-57.83787075,-35.84049785,-0.280593622,,,0,2.666666667,0,-0.006653223,0.006653223
0.009153596,3.555644071,2.00694893,-1.428117756,0.173649352,-0.086631818,,,0,2.761904762,0,-0.006649446,0.006649446
0.009153596,3.493520252,-4.599165029,-2.093001712,-2.007650022,-0.109527254,,,0,2.80952381,0,-0.006642656,0.006642656
0.009208788,0.36505337,-45.4014626,-84.17008665,-38.87146477,-0.093573903,,,0,2.714285714,0,-0.006653073,0.006653073
0.009208788,0.210628045,-42.52368269,-85.7137661,-38.47123464,-0.091550214,,,0,3.047619048,0,-0.006574372,0.006574372
0.009456408,3.747024955,24.21630521,-0.257789969,7.187554572,-0.030096446,,,0,2.857142857,0,-0.006633046,0.006633046
0.009456408,3.684901137,16.73757703,-0.508401066,4.868752788,-0.04674102,,,0,2.952380952,0,-0.006606903,0.006606903
0.009612683,0.398936802,-45.9735276,-83.82374828,-38.93918276,-0.098941558,,,0,3,0,-0.006591209,0.006591209
0.009612683,0.553362127,-48.3685735,-82.16845748,-39.16110929,-0.10800332,,,0,2.904761905,0,-0.006620994,0.006620994
0.009914724,0.743141187,-50.95076177,-79.87354114,-39.24729087,-0.129541938,,,0,0.952380952,0,-0.003627534,0.003627534
0.009914724,0.588715862,-48.87539824,-81.76632682,-39.19251752,-0.114250336,,,0,0.761904762,0,-0.00298223,0.00298223
0.010220202,0.121238571,-40.61326583,-86.60943736,-38.16681096,-0.103597471,,,0,0.857142857,0,-0.003310295,0.003310295
0.010220202,0.059114753,-39.15740679,-87.24741521,-37.9214466,-0.106565625,,,0,0.904761905,0,-0.003470305,0.003470305
0.010251741,3.940885247,48.62351222,-0.001466077,14.58661384,-0.001196656,,,0,0.80952381,0,-0.003147581,0.003147581
0.010251741,3.878761429,40.68038898,-0.023469594,12.19707582,-0.00683135,,,0,1.904761905,0,-0.006036999,0.006036999
0.010408114,0.933457341,-53.27828858,-77.16206627,-39.13210645,-0.16160834,,,0,1.714285714,0,-0.005686496,0.005686496
0.010408114,0.779032015,-51.40613255,-79.39731902,-39.24103547,-0.140353015,,,0,1.80952381,0,-0.005871196,0.005871196
0.010426701,1.124048191,-55.44033941,-73.92588449,-38.80986717,-0.193017374,,,0,1.857142857,0,-0.005956501,0.005956501
0.010426701,0.969622866,-53.69957576,-76.59103205,-39.08718234,-0.167416067,,,0,1.761904762,0,-0.005781165,0.005781165
0.010567039,1.314581201,-57.47242171,-70.08125141,-38.26610194,-0.231476541,,,0,3.80952381,0,-0.006580881,0.006580881
0.010567039,1.160155875,-55.83505261,-73.24648854,-38.72446235,-0.202112712,,,0,3.619047619,0,-0.006475328,0.006475328
0.010618045,3.029753868,-42.03437317,-12.14275545,-16.25313859,-0.325748059,,,0,3.714285714,0,-0.00651507,0.00651507
0.010618045,2.875328543,-49.74724347,-17.2368857,-20.09523875,-0.37222569,,,0,3.761904762,0,-0.00654455,0.00654455
0.010619219,2.839198478,-51.23943025,-18.51846042,-20.9273672,-0.380904793,,,0,3.666666667,0,-0.006492121,0.006492121
0.010619219,2.684773153,-56.41118253,-24.2737331,-24.20547469,-0.407931738,,,0,0.571428571,0,-0.002295565,0.002295565
0.010640687,2.648658845,-57.3603573,-25.66824498,-24.90858069,-0.412825873,,,0,0.380952381,0,-0.001570125,0.001570125
0.010640687,2.49423352,-60.45241367,-31.73652223,-27.65668077,-0.421036403,,,0,0.476190476,0,-0.001937621,0.001937621
0.010644074,3.220351166,-29.29373995,-6.947710134,-10.87243502,-0.25083146,,,0,0.523809524,0,-0.002117789,0.002117789
0.010644074,3.065925841,-39.89826225,-11.0548366,-15.28592965,-0.313565299,,,0,0.428571429,0,-0.001755067,0.001755067
0.010675239,2.458116929,-60.97189975,-33.16578769,-28.24130623,-0.422366992,,,0,2.285714286,0,-0.006501498,0.006501498
0.010675239,2.303691604,-62.4628422,-39.23412948,-30.5090915,-0.414733587,,,0,2.095238095,0,-0.006309598,0.006309598
0.010680381,1.505170116,-59.35872524,-65.5596619,-37.47551614,-0.273195576,,,0,2.19047619,0,-0.006415674,0.006415674
0.010680381,1.350744791,-57.84309939,-69.27688512,-38.13599535,-0.241218745,,,0,2.238095238,0,-0.006461108,0.006461108
0.01071213,3.4110388,-12.8311261,-3.222282952,-4.816022715,-0.16535701,,,0,2.142857143,0,-0.006365173,0.006365173
0.01071213,3.256613475,-26.44869164,-6.120227994,-9.770675891,-0.236355577,,,0,3.619047619,0,-0.006475328,0.006475328
0.010713404,2.267562188,-62.66109892,-40.63237798,-30.98804307,-0.412917139,,,0,3.428571429,0,-0.006460792,0.006460792
0.010713404,2.113136863,-62.98651232,-46.45318896,-32.83191038,-0.393410712,,,0,3.523809524,0,-0.006458496,0.006458496
0.010738536,1.695783771,-61.01853568,-60.32394872,-36.40274532,-0.315266253,,,0,3.571428571,0,-0.006464272,0.006464272
0.010738536,1.541358446,-59.69487832,-64.62112204,-37.29480011,-0.282360196,,,0,3.476190476,0,-0.006457508,0.006457508
0.010744441,2.076988058,-62.95730969,-47.77130921,-33.21858567,-0.388947915,,,0,3.428571429,0,-0.006460792,0.006460792
0.010744441,1.922562733,-62.47948875,-53.17069625,-34.6950555,-0.361607476,,,0,3.238095238,0,-0.006505647,0.006505647
0.010756683,1.886393079,-62.29783321,-54.37627525,-35.00223254,-0.355020861,,,0,3.333333333,0,-0.006477995,0.006477995
0.010756683,1.731967754,-61.29668908,-59.24881786,-36.16365208,-0.323434221,,,0,3.380952381,0,-0.006467805,0.006467805
0.010866324,3.601939392,7.138596297,-1.030599673,1.832398987,-0.083915193,,,0,3.285714286,0,-0.006490797,0.006490797
0.010866324,3.447514067,-9.269962824,-2.68751885,-3.587244502,-0.150878706,,,0,3.238095238,0,-0.006505647,0.006505647
0.011225795,3.793489554,29.94323784,-0.135900707,8.94220114,-0.023487121,,,0,3.047619048,0,-0.006574372,0.006574372
0.011225795,3.639064229,11.37360594,-0.768221356,3.181615374,-0.072077782,,,0,3.142857143,0,-0.006539238,0.006539238
0.012132503,0.16644228,-41.60482588,-86.15491162,-38.32792125,-0.121394739,,,0,3.19047619,0,-0.00652198,0.00652198
0.012132503,0.012016955,-37.97451378,-87.74589891,-37.71612381,-0.130281317,,,0,3.095238095,0,-0.006556878,0.006556878
0.012169943,3.987983045,54.67565302,8.09911E-05,16.4027202,0.000114385,,,0,1.523809524,0,-0.005263436,0.005263436
0.012169943,3.83355772,34.95732015,-0.067773645,10.46686395,-0.016200493,,,0,1.333333333,0,-0.004774536,0.004774536
0.018821472,0.383037792,-45.70695507,-83.99005989,-38.90910449,-0.192481628,,,0,1.428571429,0,-0.005026769,0.005026769
0.019527408,0.570649418,-48.61694587,-81.97699304,-39.17818167,-0.222071166,,,0,1.476190476,0,-0.005147105,0.005147105
0.020322839,0.76026844,-51.1673775,-79.65286355,-39.24607232,-0.26952438,,,0,1.380952381,0,-0.004902542,0.004902542
0.020834815,0.950699254,-53.47749474,-76.89771383,-39.11256257,-0.32869618,,,0,0.761904762,0,-0.00298223,0.00298223
0.02099374,1.141346923,-55.62720864,-73.60938471,-38.77097801,-0.394758107,,,0,0.571428571,0,-0.002295565,0.002295565
0.021237264,2.857384164,-50.50619034,-17.87667457,-20.51485947,-0.753336194,,,0,0.666666667,0,-0.002643854,0.002643854
0.02124742,1.331992658,-57.64838948,-69.70412269,-38.20575365,-0.472341703,,,0,0.714285714,0,-0.002814303,0.002814303
0.021259907,2.666765331,-56.89771354,-24.97574078,-24.5620363,-0.820989384,,,0,0.619047619,0,-0.002470929,0.002470929
0.021262119,3.048060662,-40.97503463,-11.59179343,-15.77004842,-0.639405511,,,0,1.142857143,0,-0.004226952,0.004226952
0.021315926,2.476159972,-60.72115603,-32.46108868,-27.95467341,-0.843604413,,,0,0.952380952,0,-0.003627534,0.003627534
0.021356204,3.238869403,-27.86476048,-6.521567072,-10.31589826,-0.487047471,,,0,1.047619048,0,-0.003933323,0.003933323
0.021388643,2.285539506,-62.56738707,-39.94776542,-30.75454575,-0.827783799,,,0,1.095238095,0,-0.004081705,0.004081705
0.021418917,1.522719039,-59.5194045,-65.11569802,-37.39053076,-0.555275286,,,0,1,0,-0.003781902,0.003781902
0.021457845,2.094886825,-62.97369071,-47.13072541,-33.03132484,-0.782398404,,,0,2.476190476,0,-0.006613843,0.006613843
0.021495219,1.713465811,-61.15284249,-59.81048754,-36.28899901,-0.63851976,,,0,2.285714286,0,-0.006501498,0.006501498
0.021501124,1.904193907,-62.38699572,-53.79523322,-34.85466868,-0.716559411,,,0,2.380952381,0,-0.006567348,0.006567348
0.021578454,3.429981439,-11.00492105,-2.939048133,-4.183190754,-0.315735139,,,0,2.428571429,0,-0.006592962,0.006592962
0.02209212,3.621956002,9.403034326,-0.883544709,2.555846885,-0.154991386,,,0,2.333333333,0,-0.00653689,0.00653689
0.023395739,3.817523464,32.9397284,-0.09142174,9.854491997,-0.037930326,,,0,0.380952381,0,-0.001570125,0.001570125
0.025049991,0.197785236,-42.26180357,-85.84742592,-38.43276885,-0.249334174,,,0,0.19047619,0,-0.000805984,0.000805984
0.027973705,0.177633381,-41.84272408,-86.04988737,-38.36778344,-0.279257781,,,0,0.285714286,0,-0.001193004,0.001193004
0.036387142,0.318129834,-44.57516384,-84.65792534,-38.76992675,-0.364692038,,,0,0.333333333,0,-0.00138278,0.00138278
0.036387142,0.270103212,-43.68873754,-85.13686382,-38.64768041,-0.361882353,,,0,0.238095238,0,-0.001000756,0.001000756
0.037983071,0.500041737,-47.57269083,-82.77452692,-39.10416533,-0.411978365,,,0,0.380952381,0,-0.001570125,0.001570125
0.037983071,0.452015115,-46.8297678,-83.28783825,-39.03528182,-0.400826345,,,0,0.571428571,0,-0.002295565,0.002295565
0.039176541,0.687763319,-50.22229706,-80.60089091,-39.24695639,-0.488053699,,,0,0.761904762,0,-0.00298223,0.00298223
0.039176541,0.639736697,-49.57749574,-81.18714526,-39.2293923,-0.469324183,,,0,0.952380952,0,-0.003627534,0.003627534
0.041126098,0.877607148,-52.60514323,-78.03274198,-39.19136556,-0.606253197,,,0,1.142857143,0,-0.004226952,0.004226952
0.041126098,0.829580527,-52.02335051,-78.72487292,-39.22446703,-0.58020185,,,0,1.333333333,0,-0.004774536,0.004774536
0.041199538,1.068536399,-54.81184933,-74.95642147,-38.93048124,-0.72468079,,,0,1.523809524,0,-0.005263436,0.005263436
0.041199538,1.020509777,-54.2707525,-75.78221414,-39.01588999,-0.693265424,,,0,1.714285714,0,-0.005686496,0.005686496
0.041754066,1.259237103,-56.88051022,-71.29782047,-38.45349921,-0.871758888,,,0,1.904761905,0,-0.006036999,0.006036999
0.041754066,1.211210481,-56.37115065,-72.27910643,-38.59507712,-0.835697001,,,0,2.095238095,0,-0.006309598,0.006309598
0.041955607,2.977027481,-44.94394731,-13.83375373,-17.63331031,-1.357163428,,,0,2.285714286,0,-0.006501498,0.006501498
0.041955607,2.929000859,-47.33966303,-15.4221339,-18.82853908,-1.414374236,,,0,2.476190476,0,-0.006613843,0.006613843
0.041960247,2.786238344,-53.24158492,-20.48358138,-22.11754989,-1.549343896,,,0,2.666666667,0,-0.006653223,0.006653223
0.041960247,2.738211723,-54.84480971,-22.27769568,-23.13675162,-1.582540765,,,0,2.857142857,0,-0.006633046,0.006633046
0.042045074,2.595511468,-58.59959284,-27.78500493,-25.91537933,-1.649118328,,,0,3.80952381,0,-0.006580881,0.006580881
0.042045074,2.547484846,-59.55542243,-29.67571373,-26.76934085,-1.65912061,,,0,3.047619048,0,-0.006574372,0.006574372
0.042058458,3.167982207,-33.19566055,-8.257474204,-12.43594043,-1.080423269,,,0,3.238095238,0,-0.006505647,0.006505647
0.042058458,3.119955586,-36.49513028,-9.537396437,-13.80975802,-1.1577359,,,0,3.428571429,0,-0.006460792,0.006460792
0.042181601,2.404775575,-61.61124224,-35.3198925,-29.07934042,-1.663720621,,,0,3.619047619,0,-0.006475328,0.006475328
