X,Y,ux,uy,sigma_xx,sigma_yy,sigma_xy,strain_xx,strain_yy,strain_xy,magnitude
0.05050505,0.04040404,0.0006515868,-0.0003103912,-54.371418,-89.9178,-0.75569504,-0.0009606695,-0.004041357,-0.00013098714,0.0007217396
0.05050505,0.08080808,0.0006067455,-0.00047307462,-54.290367,-89.42473,-0.7287736,-0.00096857245,-0.004013551,-0.00012632075,0.0007693762
0.05050505,0.121212125,0.0005618483,-0.00063464046,-54.218746,-88.89814,-0.719172,-0.000977919,-0.0039834664,-0.00012465648,0.0008476096
0.05050505,0.16161616,0.0005170144,-0.00079496205,-54.15749,-88.349625,-0.71919286,-0.0009884639,-0.003951783,-0.00012466009,0.00094829773
0.05050505,0.2020202,0.00047214702,-0.00095394254,-54.10808,-87.787025,-0.72393185,-0.0010000941,-0.0039189365,-0.00012548151,0.0010643915
0.05050505,0.24242425,0.00042727962,-0.0011116117,-54.072327,-87.215256,-0.730274,-0.0010127913,-0.0038851781,-0.00012658082,0.0011909024
0.05050505,0.28282827,0.00038253888,-0.00126791,-54.051567,-86.63728,-0.73640126,-0.001026559,-0.0038506547,-0.00012764288,0.0013243608
0.05050505,0.32323232,0.00033785775,-0.0014227852,-54.04662,-86.05463,-0.7413061,-0.001041408,-0.003815435,-0.00012849306,0.0014623494
0.05050505,0.36363637,0.00029322132,-0.0015762523,-54.05759,-85.46769,-0.74450105,-0.0010573338,-0.0037795426,-0.00012904685,0.0016032935
0.05050505,0.4040404,0.00024871156,-0.001728192,-54.08367,-84.87577,-0.7460938,-0.001074306,-0.0037429547,-0.00012932293,0.0017459969
0.05050505,0.44444445,0.00020426139,-0.0018786639,-54.12302,-84.27691,-0.7467483,-0.0010922638,-0.0037056005,-0.00012943638,0.0018897356
0.05050505,0.4848485,0.00015989318,-0.0020276085,-54.172493,-83.66774,-0.7476067,-0.0011111033,-0.003667358,-0.00012958515,0.0020339033
0.05050505,0.5252525,0.000115692616,-0.002175033,-54.227806,-83.04365,-0.7502948,-0.0011306853,-0.0036280586,-0.0001300511,0.0021781079
